CustomerId,CompanyName,Address,City,Region,PostalCode,Country,Phone,Fax,Email
1,Alfreds Futterkiste,Obere Str. 57,Berlin,NULL,12209,Germany,030-0074321,030-0076545,gilbert@mail.com
2,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,NULL,05021,Mexico,(5) 555-4729,(5) 555-3745,george@mail.com
3,Antonio Moreno Taquería,Mataderos  2312,México D.F.,NULL,05023,Mexico,(5) 555-3932,NULL,tanner@mail.com
4,Around the Horn,120 Hanover Sq.,London,NULL,WA1 1DP,UK,(171) 555-7788,(171) 555-6750,gloria@mail.com
5,Berglunds snabbköp,Berguvsvägen  8,Luleå,NULL,S-958 22,Sweden,0921-12 34 65,0921-12 34 67,rochelle@mail.com
6,Blauer See Delikatessen,Forsterstr. 57,Mannheim,NULL,68306,Germany,0621-08460,0621-08924,ali@mail.com
7,Blondesddsl père et fils,"24, place Kléber",Strasbourg,NULL,67000,France,88.60.15.31,88.60.15.32,dave@mail.com
8,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,NULL,28023,Spain,(91) 555 22 82,(91) 555 91 99,freeman@mail.com
9,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France,91.24.45.40,91.24.45.41,rosemarie@mail.com
10,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745,oren@mail.com
11,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK,(171) 555-1212,NULL,minerva@mail.com
12,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,NULL,1010,Argentina,(1) 135-5555,(1) 135-4892,teodoro@mail.com
13,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,NULL,05022,Mexico,(5) 555-3392,(5) 555-7293,jermaine@mail.com
14,Chop-suey Chinese,Hauptstr. 29,Bern,NULL,3012,Switzerland,0452-076545,NULL,candy@mail.com
15,Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil,(11) 555-7647,NULL,tricia@mail.com
16,Consolidated Holdings,Berkeley Gardens 12  Brewery,London,NULL,WX1 6LT,UK,(171) 555-2282,(171) 555-9199,bradley@mail.com
17,Drachenblut Delikatessen,Walserweg 21,Aachen,NULL,52066,Germany,0241-039123,0241-059428,monty@mail.com
18,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France,40.67.88.88,40.67.89.89,megan@mail.com
19,Eastern Connection,35 King George,London,NULL,WX3 6FW,UK,(171) 555-0297,(171) 555-3373,weston@mail.com
20,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria,7675-3425,7675-3426,helene@mail.com
21,Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil,(11) 555-9857,NULL,lavonne@mail.com
22,FISSA Fabrica Inter. Salchichas S.A.,"C/ Moralzarzal, 86",Madrid,NULL,28034,Spain,(91) 555 94 44,(91) 555 55 93,johnnie@mail.com
23,Folies gourmandes,"184, chaussée de Tournai",Lille,NULL,59000,France,20.16.10.16,20.16.10.17,anderson@mail.com
24,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden,0695-34 67 21,NULL,luann@mail.com
25,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany,089-0877310,089-0877451,branden@mail.com
26,France restauration,"54, rue Royale",Nantes,NULL,44000,France,40.32.21.21,40.32.21.20,damien@mail.com
27,Franchi S.p.A.,Via Monte Bianco 34,Torino,NULL,10100,Italy,011-4988260,011-4988261,merrill@mail.com
28,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal,(1) 354-2534,(1) 354-2535,eliza@mail.com
29,Galería del gastrónomo,"Rambla de Cataluña, 23",Barcelona,NULL,08022,Spain,(93) 203 4560,(93) 203 4561,allison@mail.com
30,Godos Cocina Típica,"C/ Romero, 33",Sevilla,NULL,41101,Spain,(95) 555 82 82,NULL,madelyn@mail.com
31,Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,NULL,kerri@mail.com
32,Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,NULL,ferdinand@mail.com
33,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397,brenda@mail.com
34,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765,bruno@mail.com
35,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948,stacie@mail.com
36,Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376,kermit@mail.com
37,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland,2967 542,2967 3333,roy@mail.com
38,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,NULL,eliseo@mail.com
39,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany,0555-09876,NULL,magdalena@mail.com
40,La corne d'abondance,"67, avenue de l'Europe",Versailles,NULL,78000,France,30.59.84.10,30.59.85.11,catalina@mail.com
41,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France,61.77.61.10,61.77.61.11,adele@mail.com
42,Laughing Bacchus Wine Cellars,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293,gus@mail.com
43,Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221,hosea@mail.com
44,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany,069-0245984,069-0245874,ingrid@mail.com
45,Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,NULL,marcellus@mail.com
46,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256,dillon@mail.com
47,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93,herb@mail.com
48,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646,yong@mail.com
49,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy,035-640230,035-640231,louella@mail.com
50,Maison Dewey,Rue Joseph-Bens 532,Bruxelles,NULL,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68,dick@mail.com
51,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055,marjorie@mail.com
52,Morgenstern Gesundkost,Heerstr. 22,Leipzig,NULL,04179,Germany,0342-023176,NULL,wendell@mail.com
53,North/South,South House 300 Queensbridge,London,NULL,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530,elise@mail.com
54,Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,NULL,1010,Argentina,(1) 135-5333,(1) 135-5535,dorsey@mail.com
55,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880,derick@mail.com
56,Ottilies Käseladen,Mehrheimerstr. 369,Köln,NULL,50739,Germany,0221-0644327,0221-0765721,josef@mail.com
57,Paris spécialités,"265, boulevard Charonne",Paris,NULL,75012,France,(1) 42.34.22.66,(1) 42.34.22.77,callie@mail.com
58,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico,(5) 552-3745,(5) 545-3745,robbie@mail.com
59,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria,6562-9722,6562-9723,jeannie@mail.com
60,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,NULL,1756,Portugal,(1) 356-5634,NULL,alva@mail.com
61,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545,dino@mail.com
62,Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,NULL,helga@mail.com
63,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany,0372-035188,NULL,arnoldo@mail.com
64,Rancho grande,Av. del Libertador 900,Buenos Aires,NULL,1010,Argentina,(1) 123-5555,(1) 123-5556,lonny@mail.com
65,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620,carolyn@mail.com
66,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy,0522-556721,0522-556722,cornelia@mail.com
67,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,NULL,staci@mail.com
68,Richter Supermarkt,Grenzacherweg 237,Genève,NULL,1203,Switzerland,0897-034214,NULL,brandon@mail.com
69,Romero y tomillo,"Gran Vía, 1",Madrid,NULL,28001,Spain,(91) 745 6200,(91) 745 6210,christina@mail.com
70,Santé Gourmet,Erling Skakkes gate 78,Stavern,NULL,4110,Norway,07-98 92 35,07-98 92 47,carlo@mail.com
71,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,NULL,willa@mail.com
72,Seven Seas Imports,90 Wadhurst Rd.,London,NULL,OX15 4NB,UK,(171) 555-1717,(171) 555-5646,aurelia@mail.com
73,Simons bistro,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark,31 12 34 56,31 13 35 57,carey@mail.com
74,Spécialités du monde,"25, rue Lauriston",Paris,NULL,75016,France,(1) 47.55.60.10,(1) 47.55.60.20,rich@mail.com
75,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525,donn@mail.com
76,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21,lamar@mail.com
77,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,NULL,lakeisha@mail.com
78,The Cracker Box,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083,parker@mail.com
79,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany,0251-031259,0251-035695,lane@mail.com
80,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico,(5) 555-2933,NULL,terrie@mail.com
