OrderDetailsId,OrderId,ProductId,UnitPrice,Quantity,Discount
1,10248,11,14.00,12,0.000
2,10248,42,9.80,10,0.000
3,10248,72,34.80,5,0.000
4,10249,14,18.60,9,0.000
5,10249,51,42.40,40,0.000
6,10250,41,7.70,10,0.000
7,10250,51,42.40,35,0.150
8,10250,65,16.80,15,0.150
9,10251,22,16.80,6,0.050
10,10251,57,15.60,15,0.050
11,10251,65,16.80,20,0.000
12,10252,20,64.80,40,0.050
13,10252,33,2.00,25,0.050
14,10252,60,27.20,40,0.000
15,10253,31,10.00,20,0.000
16,10253,39,14.40,42,0.000
17,10253,49,16.00,40,0.000
18,10254,24,3.60,15,0.150
19,10254,55,19.20,21,0.150
20,10254,74,8.00,21,0.000
21,10255,2,15.20,20,0.000
22,10255,16,13.90,35,0.000
23,10255,36,15.20,25,0.000
24,10255,59,44.00,30,0.000
25,10256,53,26.20,15,0.000
26,10256,77,10.40,12,0.000
27,10257,27,35.10,25,0.000
28,10257,39,14.40,6,0.000
29,10257,77,10.40,15,0.000
30,10258,2,15.20,50,0.200
31,10258,5,17.00,65,0.200
32,10258,32,25.60,6,0.200
33,10259,21,8.00,10,0.000
34,10259,37,20.80,1,0.000
35,10260,41,7.70,16,0.250
36,10260,57,15.60,50,0.000
37,10260,62,39.40,15,0.250
38,10260,70,12.00,21,0.250
39,10261,21,8.00,20,0.000
40,10261,35,14.40,20,0.000
41,10262,5,17.00,12,0.200
42,10262,7,24.00,15,0.000
43,10262,56,30.40,2,0.000
44,10263,16,13.90,60,0.250
45,10263,24,3.60,28,0.000
46,10263,30,20.70,60,0.250
47,10263,74,8.00,36,0.250
48,10264,2,15.20,35,0.000
49,10264,41,7.70,25,0.150
50,10265,17,31.20,30,0.000
51,10265,70,12.00,20,0.000
52,10266,12,30.40,12,0.050
53,10267,40,14.70,50,0.000
54,10267,59,44.00,70,0.150
55,10267,76,14.40,15,0.150
56,10268,29,99.00,10,0.000
57,10268,72,27.80,4,0.000
