OrderId,CustomerId,EmployeeId,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,85,5,2020-01-05 08:20:21.453,2020-02-02 08:20:21.453,2020-01-17 08:20:21.453,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10249,79,6,2020-01-06 08:20:21.453,2020-02-17 08:20:21.453,2020-01-11 08:20:21.453,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany
10250,34,4,2020-01-09 08:20:21.453,2020-02-06 08:20:21.453,2020-01-13 08:20:21.453,2,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10251,84,3,2020-01-09 08:20:21.453,2020-02-06 08:20:21.453,2020-01-16 08:20:21.453,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10252,76,4,2020-01-10 08:20:21.453,2020-02-07 08:20:21.453,2020-01-12 08:20:21.453,2,51.30,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,NULL,B-6000,Belgium
10253,34,3,2020-01-11 08:20:21.453,2020-01-25 08:20:21.453,2020-01-17 08:20:21.453,2,58.17,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
10254,14,5,2020-01-12 08:20:21.453,2020-02-09 08:20:21.453,2020-01-24 08:20:21.453,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10255,68,9,2020-01-13 08:20:21.453,2020-02-10 08:20:21.453,2020-01-16 08:20:21.453,3,148.33,Richter Supermarkt,Starenweg 5,Genève,NULL,1204,Switzerland
10256,88,3,2020-01-16 08:20:21.467,2020-02-13 08:20:21.467,2020-01-18 08:20:21.467,2,13.97,Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
10257,35,4,2020-01-17 08:20:21.467,2020-02-14 08:20:21.467,2020-01-23 08:20:21.467,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
